img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Bo (7).jpg,Formal,NA,NA,Cutoffs,None,NA,NA
Bo (3).jpg,Feminine,Long-sleeve-tee,Leopard,Cutoffs,Floral,NA,NA
Bo (4).jpg,Casual,NA,NA,Cotten-long-pants,Leopard,NA,NA
Bo (2).jpg,Casual,Long-sleeve-tee,Leopard,Cotten-long-pants,None,NA,NA
Bo (8).jpg,Casual,Long-sleeve-tee,Leopard,Cotten-long-pants,None,NA,NA
Bo (1).jpg,Feminine,Long-sleeve-tee,Leopard,H-line-skirt,None,NA,NA
Bo (6).jpg,Casual,Long-sleeve-tee,Leopard,Chiffon-skirt,None,NA,NA
Bo (5).jpg,Feminine,Long-sleeve-tee,Leopard,H-line-skirt,None,NA,NA
.ipynb_checkpoints,Feminine,Long-sleeve-tee,Leopard,H-line-skirt,None,NA,NA
