"","상호명","신주소","Latitude","Longitude","dis_diff"
"58","나무그늘park","06532 서울 서초구 신반포로45길 9-26 (은정빌딩) 105호",37.510803,127.0179044,0.0847970883595031
"59","대방골","07238 서울 영등포구 국회대로 800 (진미파라곤)",37.5308822,126.9211013,0.0697802593324194
"60","단미그린비","06364 서울 강남구 밤고개로14길 13-50",37.4792718,127.1026585,0.167059510913026
"61","송죽헌","03131 서울 종로구 율곡로6길 17",37.5763986,126.9893647,0.0199063336860324
"62","오미가(신사점)","06032 서울 강남구 논현로 833 (재경빌딩)",37.5227782,127.0278476,0.0819270221238974
"63","이닝","06062 서울 강남구 도산대로58길 14",37.5223699,127.0412813,0.0921735096602495
"64","영월","03708 서울 서대문구 연희로 81-21 (정암빌딩)",37.5657984,126.9289232,0.0436444192658159
"65","해주냉면","05558 서울 송파구 올림픽로12길 5-22 (해주냉면)",37.5096844,127.0795834,0.130652079803002
"66","오세계향","03146 서울 종로구 인사동12길 14-5 (관훈동)",37.5746333,126.9852542,0.0164871382513705
"67","애플하우스","06548 서울 서초구 신반포로 50 (구반포상가)",37.5017467,126.9901286,0.0815217021377735
"68","에릭케제르","07345 서울 영등포구 63로 50 (63한화생명빌딩)",37.5194647,126.9398326,0.0682590478533044
"69","향복집","07333 서울 영등포구 여의대방로67길 18 (스타빌딩) 스타빌딩 지하1층",37.5203154,126.930352,0.0722249544626364
"70","최대감네","03148 서울 종로구 인사동8길 12-3 (경운동)",37.5740197,126.9860946,0.0174967539858069
"71","쿠다이닝","06013 서울 강남구 압구정로79길 54 (청담동) 2층",37.525324,127.0515997,0.098684982979675
"72","슬런치팩토리","04074 서울 마포구 와우산로3길 38 (상수동)",37.545837,126.921513,0.0596827584963184
"73","한옥 카페 연(緣)","03053 서울 종로구 삼청로 84-3 (삼청동)",37.5829585,126.9820684,0.0123369654939925
"74","코리아하우스","06013 서울 강남구 압구정로79길 56 (아름다운빌딩)",37.5252911,127.0517699,0.0988443231125022
"75","이샘컵케이크","06577 서울 서초구 서래로10길 23",37.4993779,126.9997735,0.0866495122763518
"76","맛있는 자연세계 어울림","08298 서울특별시 구로구 공원로 41, 현대파크빌아파트 지하 1층 (구로동)",37.5010283,126.889064,0.11354329858252
"77","스시유","06182 서울 강남구 영동대로 407 (코니빌딩)",37.5055654,127.0643274,0.120662066433688
"78","루나","06040 서울 강남구 논현로149길 13 (예진빌딩)",37.5182867,127.0274353,0.0848833669292678
"79","안동","04207 서울 마포구 마포대로14가길 18-7 (공덕동)",37.5501101,126.956751,0.0333354167845574
"80","벽제갈비","05639 서울 송파구 양재대로71길 1-4 (벽제갈비)",37.5099679,127.1261994,0.171538842566923
"81","고메홈","06196 서울 강남구 삼성로75길 26-8 (대치동)",37.5035706,127.0558505,0.11547608231534
"82","광양불고기","07928 서울특별시 양천구 남부순환로 531 (신월동)",37.5212904,126.8379516,0.144749292618416
"83","보나세라","06021 서울 강남구 도산대로45길 18-2",37.5236323,127.0356392,0.0870456942101074
"84","사리원","06296 서울특별시 강남구 남부순환로 2712 (도곡동)",37.4898434,127.0438136,0.117124007256959
"85","그릴H","06016 서울특별시 강남구 도산대로 439 (청담동)",37.5240424,127.0437499,0.0930692872224685
"86","부민옥","04522 서울 중구 다동길 24-5",37.5673408,126.9807076,0.017183198522102
"87","미담","07988 서울 양천구 목동서로 133-4 (스카이포레)",37.5317856,126.8760294,0.10589406641343
"88","사월에 보리밥","06280 서울특별시 강남구 남부순환로 2913(신사동)",37.4927153,127.0585168,0.124871747316036
"89","쌍다리돼지불백","02879 서울 성북구 성북로23길 4",37.5934747,126.9956687,0.0287179319974417
"90","팔선","04605 서울 중구 동호로 249 (신라호텔) 2층",37.5564719,127.0061615,0.0435972203991259
"91","삼원가든","06023 서울특별시 강남구 언주로 835 (신사동)",37.5249079,127.0324538,0.0838121437086461
"92","대장장이화덕피자집","03056 서울 종로구 북촌로 42-4 (가회동)",37.5805286,126.9853384,0.0154048866847494
"93","강강술래(상계점)","01630 서울 노원구 동일로 1628 (상계동, 상계동강강술래)",37.673801,127.056014,0.12677644830776
"94","놀부유황오리진흙구이(잠실점)","05573 서울 송파구 도곡로 450 (잠실동)",37.5052542,127.0782554,0.132021216426031
"95","목포자매집","06107 서울 강남구 언주로115길 14",37.510121,127.0354103,0.0962930277078183
"96","상락원","06146 서울특별시 강남구 봉은사로44길 77 (역삼동)",37.5054717,127.0438409,0.105477851481767
"97","삼일정육식당","06776 서울 서초구 언남11길 7-33 (양재빌딩)",37.4751794,127.0425311,0.128104123300459
"98","태림산채정식","01442 서울특별시 도봉구 노해로60길 32 (쌍문동)",37.6499426,127.0342314,0.0944709222648415
"99","로얄컵케익","06018 서울 강남구 선릉로157길 27-3 (錦奉빌딩) 103호",37.5260072,127.0374877,0.086935190910579
"100","예당","06026 서울특별시 강남구 언주로153길 5 (신사동)",37.5226519,127.0326595,0.0854820831269829
"101","하쯔호","07345 서울특별시 영등포구 여의동로 213 (여의도동) 지하1층",37.5184844,126.939558,0.069260222156226
"102","참누렁소","01830 서울 노원구 공릉로63길 13 (유토피아빌딩)",37.634848,127.070507,0.11420934412267
"103","홍대돈부리","04042 서울 마포구 잔다리로6길 40-8",37.5519655,126.9212715,0.0565277004284613
"104","한국관","06274 서울특별시 강남구 남부순환로377길 7 (도곡동)",37.4868567,127.0448268,0.120085703999263
"105","도봉산갈비","01302 서울 도봉구 도봉로 915",37.685992,127.0456778,0.129682592908573
"106","부산복집","05661 서울 송파구 중대로27길 9-1 (오금동, 동호빌딩)",37.5092109,127.1303322,0.175618844686433
"107","한우리(본점)","06054 서울특별시 강남구 도산대로 304 (논현동)",37.5211001,127.0347283,0.0880548029582089
"108","마망갸또","06028 서울특별시 강남구 압구정로10길 30-12 (신사동)",37.5222286,127.0215263,0.0779988946912707
"109","채운","06028 서울특별시 강남구 논현로175길 107 (신사동)",37.5223883,127.0207866,0.0773911568307275
"110","궁나라냉면묵밥","03109 서울특별시 종로구 지봉로12길 6 (숭인동)",37.5768811,127.0158665,0.0460924874187724
"111","착한전복","01405 서울 도봉구 노해로65길 7-20",37.6518111,127.0450547,0.10342073840178
"112","한우리한정식(강남)","06054 서울특별시 강남구 도산대로 308 (논현동)",37.5214732,127.0351771,0.088134292301797
"113","스바루","06574 서울 서초구 방배로42길 7",37.4954678,126.989244,0.0874190811702416
"114","고오베겐뻬이","03084 서울 종로구 대학로14길 12",37.5837334,127.0024332,0.0326370990599601
"115","미엘","06016 서울특별시 강남구 도산대로67길 13-12 (청담동)",37.5252864,127.0435926,0.0921911560103716
"116","해초록","06177 서울특별시 강남구 영동대로 336 (대치동)",37.5047481,127.0659063,0.122406815285782
"117","컨퍼런스하우스달개비","04519 서울특별시 중구 세종대로19길 16 (정동)",37.566855,126.9708266,0.0139013349189922
"118","뱅가","06020 서울특별시 강남구 언주로168길 6 (신사동)",37.5263168,127.0339076,0.0839825290084212
"119","램랜드","04159 서울 마포구 토정로 255",37.5433965,126.9388578,0.0485736391722962
"120","채선당(신내점)","02068 서울 중랑구 용마산로 623 (신내동, 삼부그린스포츠센터)",37.606628,127.1004478,0.133058140333797
"121","북악정(이상갈비)","03004 서울 종로구 평창36길 6 (북악정)",37.6112946999999,126.9777521,0.0315507792024889
"122","장원북어국","07333 서울특별시 영등포구 국제금융로8길 11 (여의도동)",37.5210579,126.9297678,0.0719296386828145
"123","하늘아래뜰","06136 서울 강남구 언주로107길 39",37.5069096,127.0359459,0.0990281637253725
"124","강강술래(신림본동점)","08780 서울특별시 관악구 남부순환로 1660 (신림동)",37.4845321,126.9350234,0.102334741458211
"125","베라짜노","06014 서울 강남구 도산대로57길 13-2(청담동)",37.5246743999999,127.0411251,0.0906092227921103
"126","석파랑","03021 서울특별시 종로구 자하문로 309 (홍지동)",37.5993548,126.958729,0.0217379577709154
"127","청키면가","06014 서울 강남구 선릉로152길 15 (청담동)",37.524223,127.0412991,0.0910255153052133
"128","주빈","07331 서울특별시 영등포구 의사당대로 127 (여의도동)",37.5201371,126.9263986,0.0746097950593633
"129","본누벨","06017 서울특별시 강남구 압구정로46길 17 (신사동)",37.5273481,127.0366243,0.0854217250259519
"130","노랑저고리(강남점)","06616 서울특별시 서초구 서초대로73길 9, 타임빌딩 5층 (서초동)",37.4982696,127.0252148,0.0992734438589144
"131","미성옥","04534 서울 중구 명동길 25-11",37.5641238,126.9839117,0.0217035303307936
"132","한국회관","04522 서울 중구 을지로3길 30-5",37.5676318999999,126.9817518,0.0176392025512017
"133","55°와인앤다인","06014 서울특별시 강남구 선릉로162길 12 (청담동)",37.5230584,127.0457366,0.0952452678390328
"134","카페t","06016 서울특별시 강남구 도산대로59길 9 (청담동)",37.5244664,127.0419152,0.0913592461760147
"135","블루밍가든","06241 서울 강남구 강남대로 358 (역삼동, 삼성생명 역삼동 빌딩)",37.4999072,127.0373932,0.105273875918046
"136","예촌(신가)","06734 서울 서초구 서운로 12-1 (서초동, 예촌)",37.4851648,127.0299329,0.11283634104321
"137","고궁(명동점)","04537 서울특별시 중구 명동8가길 27 (충무로2가)",37.5618939,126.9864389,0.0250419116532579
"138","삼호짱뚱이","06049 서울 강남구 도산대로34길 11",37.5195900999999,127.0309988,0.086409595704249
"139","개화옥","06018 서울 강남구 압구정로50길 7 (정동상가)",37.5277028,127.038577,0.0867374869410544
"140","가화당","03053 서울 종로구 삼청로4길 16-1",37.5822088,126.9820685,0.0122237609965108
"141","진진만두","07331 서울 영등포구 국제금융로8길 34 (여의도동, 오륜빌딩) 3층",37.520196,126.9272258,0.074082017965833
"142","스쿨푸드 가로수길점","06036 서울 강남구 도산대로 139 (제이타워) 2층",37.5182127,127.0237111,0.0824622075055551
"143","비스트로 서울","03175 서울 종로구 새문안로3길 15 (동원빌딩) 별관 3층",37.5716658,126.9722875,0.00936233031354525
"144","곰국시집","04521 서울 중구 무교로 24 무교동파이낸스빌딩 뒤에 위치",37.5680617,126.9794662,0.0158516605426655
"145","스페인클럽","06028 서울 강남구 압구정로10길 26",37.5218537,127.0218468,0.0784920608724199
"146","낙원(메이필드호텔)","07506 서울 강서구 방화대로 94 (외발산동, 메이필드호텔, 낙원가든)",37.5476841,126.8183299,0.155164187894542
"147","곽경찬의 시골밥상","04348 서울 용산구 이태원로 235 (한남동)",37.5360929,126.9994746,0.0535244351215354
"148","노독일처","06525 서울 서초구 나루터로 59 (라성빌딩)",37.515263,127.0164659,0.0803166870164573
"149","청도","07332 서울 영등포구 국제금융로8길 27-9 (동북빌딩)",37.5196329,126.9289194,0.0735855802735864
"150","미락복집","07564 서울 강서구 공항대로 509 (등촌동, 우림보보카운티뷰오피스텔)",37.5519512,126.8635645,0.110194045548486
"151","남문토방","04529 서울 중구 남대문시장길 73-5 (회현동1가)",37.5610313,126.9800295,0.0221325809848214
